ranking,song_id,added_at,artist,song_name
1,7K3BhSpAxZBznislvUMVtn,2023-07-25T00:19:54Z,Morgan Wallen,Last Night
2,1Lo0QY9cvc8sUB2vnIOxDT,2023-07-25T00:19:54Z,Luke Combs,Fast Car
3,3k79jB4aGmMDUQzEwa46Rz,2023-07-25T00:19:54Z,Olivia Rodrigo,vampire
4,0WtM2NBVQNNJLh6scP13H8,2023-07-25T00:19:54Z,"Rema, Selena Gomez",Calm Down (with Selena Gomez)
5,5kHMfzgLZP95O9NBy0ku4v,2023-07-25T00:19:54Z,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault)
6,0yLdNVWF3Srea0uzk55zFn,2023-07-25T00:19:54Z,Miley Cyrus,Flowers
7,4rXLjWdF2ZZpXCVTfWcshS,2023-07-25T00:19:54Z,Gunna,fukumean
8,6HgWWaMu31KdOpEG5l28BG,2023-07-25T00:19:54Z,"Lil Durk, J. Cole",All My Life (feat. J. Cole)
9,1BxfuPKGuaTgP7aM0Bbdwr,2023-07-25T00:19:54Z,Taylor Swift,Cruel Summer
10,4i6cwNY6oIUU2XZxPIw82Y,2023-07-25T00:19:54Z,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice)
11,3OHfY25tqY28d16oZczHc8,2023-07-25T00:19:54Z,SZA,Kill Bill
12,4iZ4pt7kvcaH6Yo8UoZ4s2,2023-07-25T00:19:54Z,SZA,Snooze
13,1SRw5p2lVAi7RGlHEmZg66,2023-07-25T00:19:54Z,Toosii,Favorite Song
14,2dHHgzDwk4BJdRwy9uXhTO,2023-07-25T00:19:54Z,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage)
15,7G0gBu6nLdhFDPRLc0HdDG,2023-07-25T00:19:54Z,Taylor Swift,Mine (Taylor's Version)
16,79uDOz0zuuWS7HWxzMmTa2,2023-07-25T00:19:54Z,Taylor Swift,Back To December (Taylor's Version)
17,5twSy6ffBrF03mnNUsUgJZ,2023-07-25T00:19:54Z,Jelly Roll,Need A Favor
18,0JXXNGljqupsJaZsgSbMZV,2023-07-25T00:19:54Z,Miguel,Sure Thing
19,3sW3oSbzsfecv9XoUdGs7h,2023-07-25T00:19:54Z,Taylor Swift,Enchanted (Taylor's Version)
20,02Zkkf2zMkwRGQjZ7T4p8f,2023-07-25T00:19:54Z,Taylor Swift,Anti-Hero
21,3WMj8moIAXJhHsyLaqIIHI,2023-07-25T00:19:54Z,Zach Bryan,Something in the Orange
22,3MytWN8L7shNYzGl4tAKRp,2023-07-25T00:19:54Z,Taylor Swift,Sparks Fly (Taylor’s Version)
23,3dnP0JxCgygwQH9Gm7q7nb,2023-07-25T00:19:54Z,"Eslabon Armado, Peso Pluma",Ella Baila Sola
24,7oDd86yk8itslrA9HRP2ki,2023-07-25T00:19:54Z,"The Weeknd, Ariana Grande",Die For You - Remix
25,5uU1uuyaUIBOiiUSQG7Wl3,2023-07-25T00:19:54Z,Morgan Wallen,You Proof
26,1zU8j1x3yi9xalMF96pzKp,2023-07-25T00:19:54Z,Taylor Swift,Dear John (Taylor's Version)
27,5mg3VB3Qh7jcR5kAAC4DSV,2023-07-25T00:19:54Z,FIFTY FIFTY,Cupid
28,0NwGC0v03ysCYINtg6ns58,2023-07-25T00:19:54Z,Taylor Swift,Better Than Revenge (Taylor's Version)
29,0bILU0UiNDmA5Ff6whhb2R,2023-07-25T00:19:54Z,Bailey Zimmerman,Religiously
30,0PAcdVzhPO4gq1Iym9ESnK,2023-07-25T00:19:54Z,Morgan Wallen,Thinkin’ Bout Me
31,4ABYxlb92WBIjHu7TIKmml,2023-07-25T00:19:54Z,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)
32,1vYXt7VSjH9JIM5oRRo7vA,2023-07-25T00:19:54Z,Dua Lipa,Dance The Night (From Barbie The Album)
33,5xXqyjLicvEpch72qEryFT,2023-07-25T00:19:54Z,Taylor Swift,Speak Now (Taylor's Version)
34,0zo975x58DlXbZllWvfYhg,2023-07-25T00:19:54Z,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault)
35,4e3ZNTAV6PCrdYMUrUlMpQ,2023-07-25T00:19:54Z,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)
36,07bsRv0pcpbG4zJeLsUs1p,2023-07-25T00:19:54Z,Ed Sheeran,Eyes Closed
37,2UW7JaomAMuX9pZrjVpHAU,2023-07-25T00:19:54Z,"Yng Lvcas, Peso Pluma",La Bebe - Remix
38,2lNTHWu2I5Tcz9ukWsV5Jj,2023-07-25T00:19:54Z,Jordan Davis,Next Thing You Know
39,30Y4CV7A6YqtQtTTo7Ue4j,2023-07-25T00:19:54Z,Taylor Swift,Mean (Taylor's Version)
40,4s8BIKx4Zh6ryAEz8RTlaU,2023-07-25T00:19:54Z,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault)
41,5kB6WithhB8Iv08EMNmAbt,2023-07-25T00:19:54Z,Old Dominion,Memory Lane
42,6dTA6y0C2ReQklntzZl8l3,2023-07-25T00:19:54Z,Taylor Swift,The Story Of Us (Taylor's Version)
43,7aRCf5cLOFN1U7kvtChY1G,2023-07-25T00:19:54Z,Drake,Search & Rescue
44,6pD0ufEQq0xdHSsRbg9LBK,2023-07-25T00:19:54Z,"Grupo Frontera, Bad Bunny",un x100to
45,6NHpyYvJyQsg2nXXzGYc2R,2023-07-25T00:19:54Z,Morgan Wallen,Thought You Should Know
46,6Z1bV93BP95h4YjIavrQPf,2023-07-25T00:19:54Z,Tyler Hubbard,Dancin’ In The Country
47,4uUG5RXrOk84mYEfFvj3cK,2023-07-25T00:19:54Z,"David Guetta, Bebe Rexha",I'm Good (Blue)
48,1HCdems7PQZRj42QDWLA0A,2023-07-25T00:19:54Z,Taylor Swift,Timeless (Taylor’s Version) (From The Vault)
49,741UUVE2kuITl0c6zuqqbO,2023-07-25T00:19:54Z,"Nicki Minaj, Ice Spice, Aqua",Barbie World (with Aqua) [From Barbie The Album]
50,4tMzIAFTFdqGBQLdfbPces,2023-07-25T00:19:54Z,Taylor Swift,Haunted (Taylor's Version)
