ranking,song_id,added_at,artist,song_name
1,4rXLjWdF2ZZpXCVTfWcshS,2023-07-26T08:59:17Z,Gunna,fukumean
2,741UUVE2kuITl0c6zuqqbO,2023-07-26T08:59:17Z,"Nicki Minaj, Ice Spice, Aqua",Barbie World (with Aqua) [From Barbie The Album]
3,7K3BhSpAxZBznislvUMVtn,2023-07-26T08:59:17Z,Morgan Wallen,Last Night
4,6wf7Yu7cxBSPrRlWeSeK0Q,2023-07-26T08:59:17Z,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
5,3k79jB4aGmMDUQzEwa46Rz,2023-07-26T08:59:17Z,Olivia Rodrigo,vampire
6,1RlcvK95g0XfRpDvFbGLUO,2023-07-26T08:59:17Z,"Travis Scott, Bad Bunny, The Weeknd",K-POP
7,1BxfuPKGuaTgP7aM0Bbdwr,2023-07-26T08:59:17Z,Taylor Swift,Cruel Summer
8,7x9aauaA9cu6tyfpHnqDLo,2023-07-26T08:59:17Z,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.)
9,1vYXt7VSjH9JIM5oRRo7vA,2023-07-26T08:59:17Z,Dua Lipa,Dance The Night (From Barbie The Album)
10,3qQbCzHBycnDpGskqOWY0E,2023-07-26T08:59:17Z,"Eslabon Armado, Peso Pluma",Ella Baila Sola
11,1Lo0QY9cvc8sUB2vnIOxDT,2023-07-26T08:59:17Z,Luke Combs,Fast Car
12,22VHOlVYBqytsrAqV8yXBK,2023-07-26T08:59:17Z,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone)
13,5sdQOyqq2IDhvmx2lHOpwd,2023-07-26T08:59:17Z,NewJeans,Super Shy
14,1Qrg8KqiBpW07V7PNxwwwL,2023-07-26T08:59:17Z,SZA,Kill Bill
15,4ROknQyR1wOGPfmpTtB3z4,2023-07-26T08:59:17Z,Jason Aldean,Try That In A Small Town
16,5W4kiM2cUYBJXKRudNyxjW,2023-07-26T08:59:17Z,Morgan Wallen,You Proof
17,7KA4W4McWYRpgf0fWsJZWB,2023-07-26T08:59:17Z,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis)
18,6pD0ufEQq0xdHSsRbg9LBK,2023-07-26T08:59:17Z,"Grupo Frontera, Bad Bunny",un x100to
19,3WMj8moIAXJhHsyLaqIIHI,2023-07-26T08:59:17Z,Zach Bryan,Something in the Orange
20,3cBsEDNhFI9E82vPj3kvi3,2023-07-26T08:59:17Z,Morgan Wallen,Wasted On You
21,6T7FXSuXykeGktMLGp8WgE,2023-07-26T08:59:17Z,"Lil Durk, J. Cole",All My Life (feat. J. Cole)
